miRNA, drug
hsa-mir-133b,5280795
hsa-mir-133b,5288826
hsa-mir-134,5311
hsa-mir-134,6013
hsa-mir-134,47725
hsa-mir-134,123631
hsa-mir-134,5280453
hsa-mir-134,54670067
hsa-mir-135a,3220
hsa-mir-135a,5394
hsa-mir-135a,5793
hsa-mir-135a,47725
hsa-mir-135a,119307
hsa-mir-135a,54670067
hsa-mir-135a-2,448537
hsa-mir-135b,3220
hsa-mir-135b,3385
hsa-mir-135b,5793
hsa-mir-135b,31703
hsa-mir-135b,969516
hsa-mir-137,712
hsa-mir-137,3220
hsa-mir-137,3385
hsa-mir-137,5394
hsa-mir-137,60953
hsa-mir-137,119307
hsa-mir-138,5793
hsa-mir-138,119307
hsa-mir-138-1,448537
hsa-mir-139,3229
hsa-mir-139,60750
hsa-mir-139,444732
hsa-mir-140,712
hsa-mir-140,969516
hsa-mir-141,784
hsa-mir-141,2375
hsa-mir-141,2662
hsa-mir-141,3220
hsa-mir-141,3385
hsa-mir-141,5793
hsa-mir-141,5994
hsa-mir-141,10635
hsa-mir-141,60852
hsa-mir-143,3229
hsa-mir-143,5757
hsa-mir-143,31401
hsa-mir-143,444732
hsa-mir-143,5222465
hsa-mir-143,46843772
hsa-mir-144,2375
hsa-mir-144,444732
hsa-mir-144,5284373
hsa-mir-144,46843772
hsa-mir-145,3385
hsa-mir-145,5394
hsa-mir-145,9444
hsa-mir-145,31703
hsa-mir-145,444795
hsa-mir-145,451668
hsa-mir-145,5222465
hsa-mir-145,42611257
hsa-mir-145,46843772
hsa-mir-146,3229
hsa-mir-146,5757
hsa-mir-1469,5288826
hsa-mir-146a,2336
hsa-mir-146a,5865
hsa-mir-146a,6623
hsa-mir-146a,89594
hsa-mir-146a,122634
hsa-mir-146a,123596
hsa-mir-146a,444732
hsa-mir-146a,5280795
hsa-mir-146a,5288826
hsa-mir-146b,444732
hsa-mir-146b,448537
hsa-mir-146b,969516
hsa-mir-147,3385
hsa-mir-147,5793
hsa-mir-147a,60823
hsa-mir-148a,15
hsa-mir-148a,2662
hsa-mir-148a,5743
hsa-mir-148a,5793
hsa-mir-148a,13342
hsa-mir-148a,36314
hsa-mir-148a,47725
hsa-mir-148a,73581
hsa-mir-148a,119307
hsa-mir-148a,969516
hsa-mir-148a,5281708
hsa-mir-148b,712
hsa-mir-149,2375
hsa-mir-149,47725
hsa-mir-149,60750
hsa-mir-150,5793
hsa-mir-150,10836
hsa-mir-150,123596
hsa-mir-150,5288826
hsa-mir-151,712
hsa-mir-151,3385
hsa-mir-151,5280961
hsa-mir-152,702
hsa-mir-152,712
hsa-mir-152,2375
hsa-mir-152,3229
hsa-mir-152,3385
hsa-mir-152,448537
hsa-mir-153,3220
hsa-mir-153,5394
hsa-mir-153,15939
hsa-mir-153,444732
hsa-mir-154,60750
hsa-mir-155,1175
hsa-mir-155,3385
hsa-mir-155,3652
hsa-mir-155,5311
hsa-mir-155,5394
hsa-mir-155,5793
hsa-mir-155,5816
hsa-mir-155,6623
hsa-mir-155,24360
hsa-mir-155,60750
hsa-mir-155,107985
hsa-mir-155,119307
hsa-mir-155,444732
hsa-mir-155,446220
hsa-mir-155,451668
hsa-mir-155,5288826
hsa-mir-15a,712
hsa-mir-15a,2336
hsa-mir-15a,3385
hsa-mir-15a,387447
hsa-mir-15a,444795
hsa-mir-15a,448537
hsa-mir-15a,451668
hsa-mir-15a,460612
hsa-mir-15a,969516
hsa-mir-15a,5280453
hsa-mir-15b,712
hsa-mir-15b,3385
hsa-mir-15b,5757
hsa-mir-15b,6623
hsa-mir-15b,13089
hsa-mir-15b,36462
hsa-mir-15b,119307
hsa-mir-15b,444795
hsa-mir-15b,448537
hsa-mir-15b,969516
hsa-mir-15b,5280795
hsa-mir-15b,5288826
hsa-mir-16,712
hsa-mir-16,2336
hsa-mir-16,3229
hsa-mir-16,3385
hsa-mir-16,5793
hsa-mir-16,6623
hsa-mir-16,24497
hsa-mir-16,89594
hsa-mir-16,119307
hsa-mir-16,162282
hsa-mir-16,387447
hsa-mir-16,444732
hsa-mir-16,444795
hsa-mir-16,451668
hsa-mir-16,460612
hsa-mir-16,969516
hsa-mir-16,5288826
hsa-mir-16-1,60750
hsa-mir-16-1,444795
hsa-mir-16-1,448537
hsa-mir-16-1,969516
hsa-mir-16-2,448537
hsa-mir-17,2375
hsa-mir-17,3385
hsa-mir-17,9444
hsa-mir-17,162282
hsa-mir-17,451668
hsa-mir-17,5352624
hsa-mir-18,119307
hsa-mir-181,444795
hsa-mir-181a,712
hsa-mir-181a,3229
hsa-mir-181a,31703
hsa-mir-181a,60750
hsa-mir-181a,107985
hsa-mir-181a,119307
hsa-mir-181a,446220
hsa-mir-181a,451668
hsa-mir-181a,969516
hsa-mir-181a,9547215
hsa-mir-181b,712
hsa-mir-181b,2662
hsa-mir-181b,3229
hsa-mir-181b,5394
hsa-mir-181b,31703
hsa-mir-181b,60750
hsa-mir-181b,119307
hsa-mir-181b,444732
hsa-mir-181b,444795
hsa-mir-181b,452548
hsa-mir-181b,969516
hsa-mir-181b,5288826
hsa-mir-181c,3121
hsa-mir-181c,119307
hsa-mir-181c,5280453
hsa-mir-181d,712
hsa-mir-181d,31401
hsa-mir-181d,444732
hsa-mir-181d,448537
hsa-mir-181d,451668
hsa-mir-181d,969516
hsa-mir-182,702
hsa-mir-182,712
hsa-mir-182,3385
hsa-mir-182,5311
hsa-mir-182,5793
hsa-mir-182,60823
hsa-mir-182,444732
hsa-mir-182,451668
hsa-mir-1826,3385
hsa-mir-1826,5288826
hsa-mir-1826,5310940
hsa-mir-1827,60823
hsa-mir-183,702
hsa-mir-183,5311
hsa-mir-183,667639
hsa-mir-184,3385
hsa-mir-185,241
hsa-mir-185,712
hsa-mir-185,3385
hsa-mir-185,5310940
hsa-mir-186,712
hsa-mir-186,60750
hsa-mir-186,119307
hsa-mir-187,5793
hsa-mir-187,60750
hsa-mir-189,712
hsa-mir-18a,712
hsa-mir-18a,1832
hsa-mir-18a,2995
hsa-mir-18a,3385
hsa-mir-18a,4095
hsa-mir-18a,4158
hsa-mir-18a,6089
hsa-mir-18a,9444
hsa-mir-18a,60852
hsa-mir-18b,119307
hsa-mir-190,3229
hsa-mir-190,3385
hsa-mir-190,5793
hsa-mir-190b,60823
hsa-mir-191,3385
hsa-mir-191,444732
hsa-mir-191,451668
hsa-mir-191,5280795
hsa-mir-191,5288826
hsa-mir-191,5310940
hsa-mir-1915,3385
hsa-mir-1915,5757
hsa-mir-1915,6013
hsa-mir-1915,6623
hsa-mir-1915,13089
hsa-mir-1915,119307
hsa-mir-1915,5280453
hsa-mir-1915,5288826
hsa-mir-1915,54670067
hsa-mir-192,712
hsa-mir-192,4091
hsa-mir-192,445580
hsa-mir-193a,3229
hsa-mir-193a,216239
hsa-mir-193a,444732
hsa-mir-193a,451668
hsa-mir-193b,3229
hsa-mir-193b,5994
hsa-mir-193b,119307
hsa-mir-193b,451668
hsa-mir-194,712
hsa-mir-194,3385
hsa-mir-194,5793
hsa-mir-194,10635
hsa-mir-194,444732
hsa-mir-194,448537
hsa-mir-194-1,60750
hsa-mir-194-2,448537
hsa-mir-195,2662
hsa-mir-195,3385
hsa-mir-195,5394
hsa-mir-195,5793
hsa-mir-195,448537
hsa-mir-195,969516
hsa-mir-196a,162282
hsa-mir-196a,448537
hsa-mir-196a,969516
hsa-mir-196b,119307
hsa-mir-196b,216326
hsa-mir-197,3385
hsa-mir-197,5311
hsa-mir-197,60750
hsa-mir-197,5310940
hsa-mir-197,54670067
hsa-mir-1972,97226
hsa-mir-1972,54670067
hsa-mir-1973,97226
hsa-mir-1973,54670067
hsa-mir-199,3220
hsa-mir-199a,229455
hsa-mir-199a,11953817
hsa-mir-199a-2,60750
hsa-mir-199b,3229
hsa-mir-199b,5283344
hsa-mir-19a,712
hsa-mir-19a,3385
hsa-mir-19a,9444
hsa-mir-19a,60852
hsa-mir-19a,229455
hsa-mir-19a,444732
hsa-mir-19a,451668
hsa-mir-19a,969516
hsa-mir-19a,5280795
hsa-mir-19a,9804992
hsa-mir-19b,712
hsa-mir-19b,5994
hsa-mir-19b,6623
hsa-mir-19b,229455
hsa-mir-19b,9804992
hsa-mir-19b-1,9444
hsa-mir-20,3385
hsa-mir-200a,784
hsa-mir-200a,2336
hsa-mir-200a,2375
hsa-mir-200a,5757
hsa-mir-200a,47725
hsa-mir-200a,444797
hsa-mir-200b,784
hsa-mir-200b,2375
hsa-mir-200b,3385
hsa-mir-200b,4091
hsa-mir-200b,5311
hsa-mir-200b,5757
hsa-mir-200b,5793
hsa-mir-200b,47725
hsa-mir-200b,148124
hsa-mir-200b,444795
hsa-mir-200c,784
hsa-mir-200c,2578
hsa-mir-200c,3385
hsa-mir-200c,4091
hsa-mir-200c,5757
hsa-mir-200c,5793
hsa-mir-200c,229455
hsa-mir-200c,444732
hsa-mir-200c,444796
hsa-mir-200c,969516
hsa-mir-202,60750
hsa-mir-202,5283344
hsa-mir-203,3385
hsa-mir-203,5757
hsa-mir-203,5793
hsa-mir-203,9444
hsa-mir-203,47725
hsa-mir-203,448537
hsa-mir-203,969516
hsa-mir-203,5280795
hsa-mir-204,2375
hsa-mir-204,60750
hsa-mir-204,969516
hsa-mir-205,241
hsa-mir-205,3229
hsa-mir-205,5793
hsa-mir-205,60750
hsa-mir-206,3385
hsa-mir-206,5311
hsa-mir-206,31101
hsa-mir-208,5793
hsa-mir-20a,712
hsa-mir-20a,3385
hsa-mir-20a,5994
hsa-mir-20a,6623
hsa-mir-20a,9444
hsa-mir-20a,47318
hsa-mir-20a,444732
hsa-mir-20a,446220
hsa-mir-20a,448537
hsa-mir-20a,451668
hsa-mir-20a,969516
hsa-mir-20b,712
hsa-mir-20b,47318
hsa-mir-20b,444732
hsa-mir-20b,448537
hsa-mir-20b,451668
hsa-mir-20b,5280453
hsa-mir-21,544
hsa-mir-21,712
hsa-mir-21,3071
hsa-mir-21,3121
hsa-mir-21,3229
hsa-mir-21,3385
hsa-mir-21,3652
hsa-mir-21,5394
hsa-mir-21,5757
hsa-mir-21,5865
hsa-mir-21,5994
hsa-mir-21,6623
hsa-mir-21,10635
hsa-mir-21,13089
hsa-mir-21,21109
hsa-mir-21,31703
hsa-mir-21,36462
hsa-mir-21,60750
hsa-mir-21,89594
hsa-mir-21,91466
hsa-mir-21,107985
hsa-mir-21,119307
hsa-mir-21,162282
hsa-mir-21,444732
hsa-mir-21,444795
hsa-mir-21,445434
hsa-mir-21,451668
hsa-mir-21,969516
hsa-mir-21,5288826
hsa-mir-21,5329102
hsa-mir-21,5352624
hsa-mir-21,9576410
hsa-mir-21,21633059
hsa-mir-210,2375
hsa-mir-210,3385
hsa-mir-210,5394
hsa-mir-210,5978
hsa-mir-210,47725
hsa-mir-210,119307
hsa-mir-210,216326
hsa-mir-210,451668
hsa-mir-210,969516
hsa-mir-211,5757
hsa-mir-211,60750
hsa-mir-211,445434
hsa-mir-2116,3385
hsa-mir-212,3229
hsa-mir-212,5994
hsa-mir-212,60750
hsa-mir-212,123596
hsa-mir-212,446220
hsa-mir-214,444732
hsa-mir-214,451668
hsa-mir-215,712
hsa-mir-215,444732
hsa-mir-216,5757
hsa-mir-216a,969516
hsa-mir-216b,97226
hsa-mir-216b,969516
hsa-mir-217,60750
hsa-mir-217,229455
hsa-mir-217,455658
hsa-mir-217,969516
hsa-mir-218,2375
hsa-mir-218,3220
hsa-mir-218,3385
hsa-mir-218,119307
hsa-mir-218,5318517
hsa-mir-218-2,448537
hsa-mir-219,702
hsa-mir-22,10635
hsa-mir-22,24497
hsa-mir-22,31703
hsa-mir-22,444732
hsa-mir-22,444795
hsa-mir-22,448537
hsa-mir-22,451668
hsa-mir-22,969516
hsa-mir-22,5280795
hsa-mir-221,3220
hsa-mir-221,10635
hsa-mir-221,60823
hsa-mir-221,119307
hsa-mir-221,229455
hsa-mir-221,444732
hsa-mir-221,5280795
hsa-mir-221,5288826
hsa-mir-221,5329102
hsa-mir-222,3220
hsa-mir-222,3385
hsa-mir-222,36462
hsa-mir-222,60823
hsa-mir-222,229455
hsa-mir-222,5310940
hsa-mir-222,5329102
hsa-mir-223,241
hsa-mir-223,10836
hsa-mir-223,444795
hsa-mir-223,5280961
hsa-mir-224,712
hsa-mir-224,3385
hsa-mir-224,119307
hsa-mir-23a,712
hsa-mir-23a,3229
hsa-mir-23a,3385
hsa-mir-23a,5757
hsa-mir-23a,6279
hsa-mir-23a,119104
hsa-mir-23a,448537
hsa-mir-23a,969516
hsa-mir-23a,5288826
hsa-mir-23b,712
hsa-mir-23b,2375
hsa-mir-23b,3385
hsa-mir-23b,5757
hsa-mir-23b,5793
hsa-mir-23b,6279
hsa-mir-23b,119307
hsa-mir-23b,444732
hsa-mir-23b,451668
hsa-mir-23b,969516
hsa-mir-23b,5288826
hsa-mir-24,712
hsa-mir-24,3385
hsa-mir-24,5394
hsa-mir-24,5790
hsa-mir-24,60700
hsa-mir-24,60838
hsa-mir-24,444732
hsa-mir-24,451668
hsa-mir-24,969516
hsa-mir-24,5284373
hsa-mir-24,5288826
hsa-mir-24-1,60750
hsa-mir-24-2,451668
hsa-mir-25,702
hsa-mir-25,712
hsa-mir-25,2336
hsa-mir-25,3385
hsa-mir-25,15625
hsa-mir-25,119307
hsa-mir-25,265237
hsa-mir-25,444732
hsa-mir-25,448537
hsa-mir-25,451668
hsa-mir-25,638278
hsa-mir-25,969516
hsa-mir-25,5310940
hsa-mir-26a,712
hsa-mir-26a,3229
hsa-mir-26a,4091
hsa-mir-26a,5394
hsa-mir-26a,448537
hsa-mir-26a,969516
hsa-mir-26a,2733526
hsa-mir-26a,5280795
hsa-mir-26a,5288826
hsa-mir-26a-1,60750
hsa-mir-26b,712
hsa-mir-26b,2662
hsa-mir-26b,3385
hsa-mir-26b,6623
hsa-mir-26b,36462
hsa-mir-26b,5288826
hsa-mir-27a,712
hsa-mir-27a,3385
hsa-mir-27a,5743
hsa-mir-27a,5757
hsa-mir-27a,13342
hsa-mir-27a,24497
hsa-mir-27a,36314
hsa-mir-27a,60750
hsa-mir-27a,73581
hsa-mir-27a,444732
hsa-mir-27a,451668
hsa-mir-27a,969516
hsa-mir-27a,5280961
hsa-mir-27b,241
hsa-mir-27b,712
hsa-mir-27b,1832
hsa-mir-27b,3385
hsa-mir-27b,3386
hsa-mir-27b,5743
hsa-mir-27b,5757
hsa-mir-27b,6089
hsa-mir-27b,6623
hsa-mir-27b,13089
hsa-mir-27b,13342
hsa-mir-27b,31703
hsa-mir-27b,36314
hsa-mir-27b,73581
hsa-mir-27b,119307
hsa-mir-27b,442793
hsa-mir-27b,446220
hsa-mir-27b,451668
hsa-mir-27b,5280453
hsa-mir-28,712
hsa-mir-28,451668
hsa-mir-28,5288826
hsa-mir-294,60750
hsa-mir-298,5793
hsa-mir-299,60750
hsa-mir-29a,3385
hsa-mir-29a,5793
hsa-mir-29a,6013
hsa-mir-29a,6623
hsa-mir-29a,10635
hsa-mir-29a,72304
hsa-mir-29a,444732
hsa-mir-29a,451668
hsa-mir-29a,5280453
hsa-mir-29a,5310940
hsa-mir-29b,712
hsa-mir-29b,3229
hsa-mir-29b,5793
hsa-mir-29b,5994
hsa-mir-29b,10635
hsa-mir-29b,119307
hsa-mir-29b,444732
hsa-mir-29b,451668
hsa-mir-29c,2662
hsa-mir-29c,3229
hsa-mir-29c,5793
hsa-mir-29c,5994
hsa-mir-29c,36314
hsa-mir-300,216326
hsa-mir-301,712
hsa-mir-301a,3220
hsa-mir-301a,5994
hsa-mir-301a,47725
hsa-mir-302a,5793
hsa-mir-302b,5793
hsa-mir-302b,41867
hsa-mir-302c,5793
hsa-mir-302c,451668
hsa-mir-302c,5280453
hsa-mir-302d,3220
hsa-mir-302d,31401
hsa-mir-302d,229455
hsa-mir-302f,3385
hsa-mir-30a,3229
hsa-mir-30a,3385
hsa-mir-30a,119307
hsa-mir-30a,162282
hsa-mir-30a,445580
hsa-mir-30b,2375
hsa-mir-30b,5757
hsa-mir-30b,5994
hsa-mir-30b,444732
hsa-mir-30b,451668
hsa-mir-30c,5757
hsa-mir-30c,445580
hsa-mir-30c,5288826
hsa-mir-30d,2375
hsa-mir-30d,5310940
hsa-mir-30e,3229
hsa-mir-30e,3385
hsa-mir-30e,5994
hsa-mir-31,3121
hsa-mir-31,3229
hsa-mir-31,3385
hsa-mir-31,24497
hsa-mir-31,119307
hsa-mir-31,444732
hsa-mir-31,451668
hsa-mir-3127,119307
hsa-mir-3149,3385
hsa-mir-3163,3385
hsa-mir-32,15
hsa-mir-32,702
hsa-mir-32,2375
hsa-mir-32,5994
hsa-mir-32,10635
hsa-mir-32,119307
hsa-mir-32,5280453
hsa-mir-320,60750
hsa-mir-320,444732
hsa-mir-320,448537
hsa-mir-320,451668
hsa-mir-320a,3385
hsa-mir-320a,123596
hsa-mir-320a,5288826
hsa-mir-320b,241
hsa-mir-320c,3385
hsa-mir-320c,5288826
hsa-mir-320d,3385
hsa-mir-320d,5310940
hsa-mir-322,702
hsa-mir-323,119307
hsa-mir-326,60750
hsa-mir-328,2995
hsa-mir-328,3117
hsa-mir-328,6089
hsa-mir-328,13342
hsa-mir-328,31703
hsa-mir-328,60750
hsa-mir-328,73581
hsa-mir-328,119307
hsa-mir-328,123596
hsa-mir-328,164676
hsa-mir-328,446220
hsa-mir-328,5281708
hsa-mir-329,5793
hsa-mir-329,60750
hsa-mir-33,712
hsa-mir-33,448537
hsa-mir-330,712
hsa-mir-330,60750
hsa-mir-330,445580
hsa-mir-331,712
hsa-mir-335,6623
hsa-mir-335,15625
hsa-mir-335,114900
hsa-mir-335,444732
hsa-mir-335,448537
hsa-mir-337,5757
hsa-mir-337,24497
hsa-mir-337,60750
hsa-mir-337,448537
hsa-mir-339,60750
hsa-mir-339,5283344
hsa-mir-33a,14403
hsa-mir-33b,53232
hsa-mir-340,3385
hsa-mir-342,60750
hsa-mir-342,444795
hsa-mir-345,2375
hsa-mir-345,5311
hsa-mir-345,60750
hsa-mir-345,448537
hsa-mir-345,54670067
hsa-mir-346,5073
hsa-mir-346,5793
hsa-mir-346,60750
hsa-mir-346,448537
hsa-mir-34a,241
hsa-mir-34a,712
hsa-mir-34a,3220
hsa-mir-34a,3385
hsa-mir-34a,5311
hsa-mir-34a,216326
hsa-mir-34a,444732
hsa-mir-34a,448537
hsa-mir-34a,451668
hsa-mir-34a,969516
hsa-mir-34a,5280961
hsa-mir-34a,5282350
hsa-mir-34b,712
hsa-mir-34b,5757
hsa-mir-34b,31703
hsa-mir-34b,60700
hsa-mir-34c,31703
hsa-mir-361,712
hsa-mir-361,448537
hsa-mir-363,712
hsa-mir-363,2375
hsa-mir-363,3220
hsa-mir-3648,119307
hsa-mir-365,3385
hsa-mir-365,5073
hsa-mir-365,119307
hsa-mir-3653,119307
hsa-mir-3656,119307
hsa-mir-3658,3385
hsa-mir-3662,3385
hsa-mir-367,5793
hsa-mir-367,36314
hsa-mir-367,229455
hsa-mir-3673,3385
hsa-mir-370,5994
hsa-mir-370,97226
hsa-mir-370,119307
hsa-mir-370,448537
hsa-mir-371,148124
hsa-mir-371,448537
hsa-mir-372,5793
hsa-mir-372,60750
hsa-mir-372,229455
hsa-mir-372,21633059
hsa-mir-373,3220
hsa-mir-373,5311
hsa-mir-373,444732
hsa-mir-374a,5994
hsa-mir-374b,3385
hsa-mir-374b,5793
hsa-mir-374b,445580
hsa-mir-374b,5280795
hsa-mir-375,2375
hsa-mir-375,5793
hsa-mir-375,10635
hsa-mir-375,31703
hsa-mir-375,444732
hsa-mir-375,448537
hsa-mir-375,2733526
hsa-mir-375,5280448
hsa-mir-375,54670067
hsa-mir-376a,2375
hsa-mir-376a,5311
hsa-mir-376c,2375
hsa-mir-376c,6623
hsa-mir-377,2375
hsa-mir-377,5793
hsa-mir-378,451668
hsa-mir-378,5283344
hsa-mir-378i,3385
hsa-mir-379,3385
hsa-mir-379,5311
hsa-mir-381,2375
hsa-mir-381,5311
hsa-mir-381,5793
hsa-mir-382,5311
hsa-mir-382,5288826
hsa-mir-383,3385
hsa-mir-383,5311
hsa-mir-383,5793
hsa-mir-3945,3385
hsa-mir-409,60750
hsa-mir-410,3385
hsa-mir-411,5280453
hsa-mir-412,5994
hsa-mir-412,60750
hsa-mir-422a,448537
hsa-mir-422a,9949648
hsa-mir-422a,54670067
hsa-mir-422b,712
hsa-mir-423-5p,3385
hsa-mir-423-5p,5288826
hsa-mir-424,712
hsa-mir-424,2375
hsa-mir-424,5757
hsa-mir-424,119307
hsa-mir-424,451668
hsa-mir-424,5280795
hsa-mir-425,5311
hsa-mir-4257,97226
hsa-mir-4270,119307
hsa-mir-4271,3385
hsa-mir-4281,119307
hsa-mir-4284,119307
hsa-mir-429,784
hsa-mir-429,2375
hsa-mir-429,3385
hsa-mir-429,5793
hsa-mir-429,47725
hsa-mir-4298,3385
hsa-mir-4306,3385
hsa-mir-431,60700
hsa-mir-432,5311
hsa-mir-432,31703
hsa-mir-433,5793
hsa-mir-4476,3385
hsa-mir-448,60823
hsa-mir-449a,5793
hsa-mir-449a,31703
hsa-mir-449a,216326
hsa-mir-449b,5793
hsa-mir-449b,31703
hsa-mir-450,712
hsa-mir-450a,5311
hsa-mir-451,5743
hsa-mir-451,13342
hsa-mir-451,36314
hsa-mir-451,73581
hsa-mir-451,216326
hsa-mir-451,5284373
hsa-mir-4518,3385
hsa-mir-452,712
hsa-mir-453,3220
