miRNA, drug
hsa-let-7a,6215
hsa-let-7a,6224
hsa-let-7a,6230
hsa-let-7a,6262
hsa-let-7a,6267
hsa-let-7a,6291
hsa-let-7a,6337
hsa-let-7a,6446
hsa-let-7a,6473
hsa-let-7a,6741
hsa-let-7a,6883
hsa-let-7a,7027
hsa-let-7a,7029
hsa-let-7a,7077
hsa-let-7a,7099
hsa-let-7a,7151
hsa-let-7a,7187
hsa-let-7a,7405
hsa-let-7a,7558
hsa-let-7a,7697
hsa-let-7a,7699
hsa-let-7a,7741
hsa-let-7a,8249
hsa-let-7a,8275
hsa-let-7a,8280
hsa-let-7a,8361
hsa-let-7a,8490
hsa-let-7a,8555
hsa-let-7a,8556
hsa-let-7a,8612
hsa-let-7a,8759
hsa-let-7a,8955
hsa-let-7a,9015
hsa-let-7a,9046
hsa-let-7a,9051
hsa-let-7a,9053
hsa-let-7a,9270
hsa-let-7a,9290
hsa-let-7a,9291
hsa-let-7a,9403
hsa-let-7a,9565
hsa-let-7a,9642
hsa-let-7a,9677
hsa-let-7a,9782
hsa-let-7a,9878
hsa-let-7a,9880
hsa-let-7a,10026
hsa-let-7a,10230
hsa-let-7a,10607
hsa-let-7a,10621
hsa-let-7a,10690
hsa-let-7a,10692
hsa-let-7a,10767
hsa-let-7a,11273
hsa-let-7a,11683
hsa-let-7a,12035
hsa-let-7a,12620
hsa-let-7a,12967
hsa-let-7a,13090
hsa-let-7a,13091
hsa-let-7a,13092
hsa-let-7a,13095
hsa-let-7a,13096
hsa-let-7a,13097
hsa-let-7a,13109
hsa-let-7a,13136
hsa-let-7a,13344
hsa-let-7a,13769
hsa-let-7a,13791
hsa-let-7a,14052
hsa-let-7a,14792
hsa-let-7a,14806
hsa-let-7a,14866
hsa-let-7a,14985
hsa-let-7a,15209
hsa-let-7a,15459
hsa-let-7a,15664
hsa-let-7a,16078
hsa-let-7a,16231
hsa-let-7a,16490
hsa-let-7a,16666
hsa-let-7a,17141
hsa-let-7a,21700
hsa-let-7a,21855
hsa-let-7a,22297
